gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
analysis_id,bcxx69hvz3692xu
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
mouse_strain,C57BL
pvalue,0.5316832
