analysis_id,90754b5r05w0gxd
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4077945
