gene_symbol,Zcchc2
pvalue,0.5903001
mouse_life_stage,Early adult
parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
analysis_id,9fnwsduyyvfgcsd
gene_accession_id,MGI:2444114
