analysis_id,uk3q7q1qdzykj5g
gene_symbol,PUM1
mouse_life_stage,Early adult
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
pvalue,0.5716067
gene_accession_id,MGI:1931749
