analysis_id,f97m4dd57qd1l4d
pvalue,0.6140245
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
gene_symbol,Ntmt2
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
parameter_name,Eosinophils - % of CD45+
