analysis_id,i6zoxm3b417qiq0
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
pvalue,0.5334638
