parameter_name,Anophthalmia
gene_symbol,Orc2
analysis_id,87e1sdwl418aa2t
pvalue,0.3640607
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
mouse_life_stage,E9.5
