gene_symbol,Secisbp2l
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
parameter_id,IMPC_EYE_017_001
analysis_id,w8by0mp4r31j6u9
parameter_name,Lens Opacity
mouse_strain,C57BL
pvalue,0.07209813
