gene_symbol,Sdcbp2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Snout morphology
gene_accession_id,MGI:2385156
pvalue,0.2355076
analysis_id,k0r9ijh7tvzxa12
parameter_id,MGP_CSD_066_001
