parameter_name,Monocytes
analysis_id,339f48surb8qqj2
gene_accession_id,MGI:104640
gene_symbol,Rab17
pvalue,0.379882
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
