parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.839265
analysis_id,85g7781a7bh26n5
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_name,Total cholesterol
