analysis_id,0157685w26np7l4
gene_symbol,Mgst2
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
pvalue,0.1447864
parameter_name,Center average speed
