analysis_id,439oj59z8621a07
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
parameter_name,Total protein
pvalue,0.7161096
