gene_symbol,Sdcbp2
mouse_life_stage,Early adult
pvalue,0.4751089
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_id,JAXLA_CBC_015_001
analysis_id,87pff5m9m4l849n
