analysis_id,6fg34p2gxq0vnr4
gene_symbol,Hpca
parameter_name,Fructosamine
mouse_strain,C51BL
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_020_001
pvalue,0.3903578
