analysis_id,309p3j629646zl3
parameter_name,Time mobile light side
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
gene_symbol,Sfpq
pvalue,0.6451325
