parameter_name,Neutrophil differential count
analysis_id,g90swe688874l30
gene_symbol,Ahctf1
mouse_strain,C57BL
gene_accession_id,MGI:1915033
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
pvalue,0.4324688
