analysis_id,0bs025qf3985438
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
pvalue,0.6807537
mouse_life_stage,Early adult
gene_symbol,Cmpk1
