analysis_id,702v15a4gxnw40w
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ufc1
parameter_name,Red blood cell distribution width
gene_accession_id,MGI:1913405
pvalue,0.9288667
parameter_id,IMPC_HEM_027_001
