parameter_id,HMGULA_HEM_001_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_name,White blood cell count
analysis_id,8249ug319sgpl61
mouse_life_stage,E15.5
pvalue,0.9046961
