analysis_id,822wf0vm23z9qa4
mouse_strain,129SV
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
pvalue,0.5781644
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
