gene_symbol,Rhbg
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
pvalue,0.2001952
gene_accession_id,MGI:1927379
analysis_id,48j88y2m094262n
mouse_life_stage,Early adult
