parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.3953748
parameter_id,ESLIM_007_001_009
mouse_life_stage,Early adult
analysis_id,hrk2s434499l0x4
gene_accession_id,MGI:88461
gene_symbol,Col6a3
