analysis_id,06wnr84b26j3857
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.6975598
gene_symbol,Sfpq
parameter_id,IMPC_ACS_036_001
