parameter_name,Limb grasping
pvalue,0.298275
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
gene_symbol,Pum1
analysis_id,eh5u2il12oh6o05
mouse_strain,C57BL
