gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
analysis_id,z58627i5j1xo7rw
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
mouse_strain,C57BL
pvalue,0.9557964
mouse_life_stage,Early adult
