analysis_id,8uqc4i6ils99z57
gene_symbol,Tbl1xr1
parameter_name,Total T cells - % of CD45+
pvalue,0.8960603
gene_accession_id,MGI:2441730
parameter_id,MGP_IMM_001_001
mouse_life_stage,Late adult
mouse_strain,C57BL
