gene_symbol,Rab13
mouse_life_stage,Early adult
analysis_id,5y3p541s9xh5i2v
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
parameter_name,CV
pvalue,0.5544074
gene_accession_id,MGI:1927232
