gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
analysis_id,43c0b92923ew50y
parameter_id,IMPC_XRY_023_001
pvalue,0.2506236
parameter_name,Ulna
mouse_life_stage,Early adult
mouse_strain,C57BL
