analysis_id,41nfi8fya4uow35
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
pvalue,0.8354103
gene_symbol,Eprs1
