parameter_name,Sacral processes
gene_symbol,Cldn19
pvalue,0.9394946
analysis_id,480i66n59189f3m
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
mouse_strain,C57BL
parameter_id,IMPC_XRY_066_001
