analysis_id,l811130r0j8s6i1
gene_symbol,Rgs20
pvalue,0.3086964
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929866
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
