gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_name,Eosinophil number
analysis_id,ti3sfe4hk16j6r4
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
pvalue,0.6987058
