analysis_id,0670rs3v347wln0
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.06555528
parameter_name,Center permanence time
gene_symbol,Col6a3
gene_accession_id,MGI:88461
