gene_symbol,Dcaf10
analysis_id,2usig720zp2025j
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.4140063
gene_accession_id,MGI:2140179
