gene_symbol,Ahcy
analysis_id,139mhd165694271
parameter_name,Stroke Volume
mouse_life_stage,Early adult
gene_accession_id,MGI:87968
pvalue,0.1606663
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
