parameter_name,Number of centre entries
gene_symbol,Atrn
mouse_life_stage,Early adult
pvalue,0.8799747
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1341628
analysis_id,js7yyx2x69w19k7
mouse_strain,C57BL
