gene_symbol,F2
gene_accession_id,MGI:88380
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
pvalue,0.9952565
mouse_life_stage,Early adult
analysis_id,6zzn78oi04lwzu6
mouse_strain,C57BL
