analysis_id,19c695wk769718x
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.8152968
parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:891989
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
