analysis_id,iu132u86ooerhb7
mouse_life_stage,Early adult
pvalue,0.9029549
gene_symbol,Morn5
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1922745
