gene_symbol,Clvs1
mouse_strain,C57BL
gene_accession_id,MGI:1921688
pvalue,0.3908462
parameter_id,MGP_PBI_033_001
analysis_id,o3be13l021877e7
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
