analysis_id,jo92034itw8v7cr
parameter_id,IMPC_IMM_047_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Bcs1l
pvalue,0.7166416
mouse_strain,C57BL
