analysis_id,tt182jcz0s40f09
pvalue,0.2623918
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dhdds
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1914672
