analysis_id,bo43d86g17wwb20
parameter_name,Neural tube closure
gene_symbol,Pum1
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
pvalue,0.2329767
