gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.3789813
analysis_id,8v20m88fr9218c0
mouse_life_stage,Early adult
parameter_id,MGP_IMM_081_001
