gene_symbol,Trim46
parameter_name,Retina (combined)
pvalue,0.285612
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:2673000
analysis_id,l9aq1bjmwuxggx8
mouse_life_stage,Early adult
