analysis_id,9cz4m0w265w5nk5
pvalue,0.9907599
parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
parameter_name,Body weight
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
mouse_strain,C57BL
