parameter_name,Body Weight
parameter_id,M-G-P_020_001_001
gene_symbol,Amigo1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,173i4m364bann92
pvalue,0.2392539
gene_accession_id,MGI:2653612
