parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.4369497
parameter_id,ICS_FEA_019_001
gene_symbol,Bcs1l
analysis_id,4l2ev7k91v5c2ad
mouse_life_stage,E9.5
