gene_symbol,Traf6
pvalue,0.753281
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
analysis_id,26ao0v6u8e0el7v
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
