analysis_id,58908x1hi49161a
parameter_name,Total ab T cells - % of CD45+
pvalue,0.6632525
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_070_001
gene_symbol,Rhbg
