gene_symbol,Rufy4
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:3588214
pvalue,0.7791683
parameter_name,Fusion of vertebrae
analysis_id,6vs7q77g3yp7l8d
mouse_strain,C57BL
mouse_life_stage,Early adult
