parameter_id,HRWLLA_DXA_007_001
mouse_strain,C57BL
analysis_id,37477737o55556f
mouse_life_stage,Early adult
pvalue,0.431852
parameter_name,BMC/Body weight
gene_symbol,Sla2
gene_accession_id,MGI:1925049
