analysis_id,6x0873v3ht3p583
mouse_strain,C57BL
pvalue,0.8998198
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,E9.5
parameter_name,Snout morphology
