analysis_id,l2dxj2n0r3b2c5l
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,E9.5
pvalue,0.6874474
gene_accession_id,MGI:1914515
parameter_id,IMPC_GRS_011_001
gene_symbol,Slc39a10
