parameter_id,JAX_ROT_002_001
parameter_name,Average duration
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
pvalue,0.6688759
mouse_strain,C57BL
analysis_id,6163n508v41f3h8
