parameter_name,NKT cells (panel A)
pvalue,0.4708393
gene_symbol,Zcchc2
analysis_id,35cq921br8k48i3
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
