parameter_name,Magnesium
analysis_id,7y3d0z115djl67t
mouse_life_stage,Early adult
pvalue,0.9770201
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:1921493
mouse_strain,C57BL
gene_symbol,Slx4ip
