gene_symbol,Dnaaf9
parameter_name,Alanine aminotransferase
pvalue,0.4624164
gene_accession_id,MGI:1923029
analysis_id,w8hs402i6agn9u9
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
mouse_life_stage,Early adult
