analysis_id,2g2m03816fuoonw
gene_accession_id,MGI:2181659
pvalue,0.991363
parameter_name,Lean/Body weight
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_702
mouse_strain,C57BL
