analysis_id,sk91hzbxo2w84y9
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
gene_symbol,Slc28a2
pvalue,0.149801
parameter_name,Coat - color pattern - back
