parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
mouse_life_stage,E9.5
gene_symbol,Orc2
mouse_strain,C57BL
analysis_id,j2zk60r7s0g2505
pvalue,0.1499224
gene_accession_id,MGI:1328306
