analysis_id,4h0f96s8y195g29
mouse_life_stage,Late adult
pvalue,0.2235592
parameter_name,Forelimb grip strength measurement mean
mouse_strain,C57BL
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_id,IMPC_GRS_008_001
