parameter_name,Creatinine
mouse_life_stage,E18.5
pvalue,0.9694892
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
analysis_id,7s4n77km3023733
mouse_strain,C57BL
